fan,status,occupation,eyes,face,test,test_eyes
hf,hs,doctor,Aligned_291_0_C1.jpg,Aligned_C2_104.jpg,old,Aligned_291_0_C1.jpg
hf,ls,secretary,Aligned_Cropped_New_11.jpg,Aligned_223_0_C1.jpg,old,Aligned_Cropped_New_11.jpg
hf,ls,secretary,Aligned_Cropped_New_11.jpg,Aligned_Cropped_72.jpg,new,Aligned_C2_054.jpg
hf,ls,secretary,Aligned_C2_054.jpg,Aligned_C2_167.jpg,old,Aligned_C2_054.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_C2_032.jpg,old,Aligned_C2_152.jpg
hf,ls,nanny,Aligned_C2_256.jpg,Aligned_C2_160.jpg,new,Aligned_C2_131.jpg
hf,hs,lawyer,Aligned_C2_137.jpg,Aligned_C2_094.jpg,new,Aligned_C2_152.jpg
lf,ls,secretary,Aligned_C2_098.jpg,Aligned_C2_234.jpg,new,Aligned_C2_088.jpg
hf,hs,CEO,Aligned_C2_286.jpg,Aligned_C2_214.jpg,new,Aligned_C2_021.jpg
hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_Cropped_New_7.jpg,new,Aligned_C2_042.jpg
hf,hs,doctor,Aligned_C2_037.jpg,Aligned_C2_300.jpg,old,Aligned_C2_037.jpg
hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_168.jpg,old,Aligned_288_0_C1.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_C2_028.jpg,new,Aligned_C2_256.jpg
hf,hs,CEO,Aligned_C2_286.jpg,Aligned_C2_072.jpg,new,Aligned_C2_021.jpg
hf,hs,professor,Aligned_Cropped_New_18.jpg,Aligned_303_0_C1.jpg,old,Aligned_Cropped_New_18.jpg
hf,ls,nanny,Aligned_C2_256.jpg,Aligned_C2_182.jpg,old,Aligned_C2_256.jpg
hf,hs,CEO,Aligned_C2_286.jpg,Aligned_C2_142.jpg,new,Aligned_C2_021.jpg
hf,hs,professor,Aligned_C2_104.jpg,Aligned_Cropped_New_15.jpg,new,Aligned_Cropped_New_18.jpg
hf,hs,doctor,Aligned_C2_037.jpg,Aligned_Cropped_New_14.jpg,new,Aligned_291_0_C1.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_C2_021.jpg,old,Aligned_C2_152.jpg
hf,hs,lawyer,Aligned_C2_137.jpg,Aligned_130_0_C1.jpg,old,Aligned_C2_137.jpg
hf,ls,secretary,Aligned_Cropped_New_11.jpg,Aligned_178_0_C1.jpg,old,Aligned_Cropped_New_11.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_C2_039.jpg,old,Aligned_C2_131.jpg
hf,hs,CEO,Aligned_C2_021.jpg,Aligned_Cropped_69.jpg,old,Aligned_C2_021.jpg
hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_009.jpg,new,Aligned_C2_042.jpg
hf,ls,maid,Aligned_287_0_C1.jpg,Aligned_C2_131.jpg,new,Aligned_Cropped_New_17.jpg
hf,hs,doctor,Aligned_291_0_C1.jpg,Aligned_C2_152.jpg,old,Aligned_291_0_C1.jpg
hf,ls,secretary,Aligned_C2_054.jpg,Aligned_C2_132.jpg,new,Aligned_Cropped_New_11.jpg
hf,ls,secretary,Aligned_Cropped_New_11.jpg,Aligned_287_0_C1.jpg,new,Aligned_C2_054.jpg
hf,hs,professor,Aligned_C2_104.jpg,Aligned_203_0_C1.jpg,new,Aligned_Cropped_New_18.jpg
hf,ls,bus driver,Aligned_C2_042.jpg,Aligned_215_0_C1.jpg,old,Aligned_C2_042.jpg
hf,hs,CEO,Aligned_C2_021.jpg,Aligned_291_0_C1.jpg,new,Aligned_C2_286.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_C2_135.jpg,new,Aligned_C2_137.jpg
hf,ls,bus driver,Aligned_C2_042.jpg,Aligned_C2_254.jpg,old,Aligned_C2_042.jpg
hf,ls,nanny,Aligned_C2_256.jpg,Aligned_C2_246.jpg,old,Aligned_C2_256.jpg
hf,ls,maid,Aligned_287_0_C1.jpg,Aligned_C2_054.jpg,old,Aligned_287_0_C1.jpg
hf,ls,maid,Aligned_Cropped_New_17.jpg,Aligned_Cropped_New_23.jpg,new,Aligned_287_0_C1.jpg
hf,ls,bus driver,Aligned_C2_042.jpg,Aligned_Cropped_New_13.jpg,new,Aligned_288_0_C1.jpg
hf,ls,maid,Aligned_287_0_C1.jpg,Aligned_288_0_C1.jpg,new,Aligned_Cropped_New_17.jpg
hf,ls,maid,Aligned_287_0_C1.jpg,Aligned_Cropped_New_17.jpg,new,Aligned_Cropped_New_17.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_110_0_C1.jpg,old,Aligned_C2_131.jpg
hf,ls,bus driver,Aligned_C2_042.jpg,Aligned_Cropped_New_12.jpg,old,Aligned_C2_042.jpg
hf,ls,nanny,Aligned_C2_256.jpg,Aligned_Cropped_New_11.jpg,old,Aligned_C2_256.jpg
hf,hs,doctor,Aligned_291_0_C1.jpg,Aligned_Cropped_New_18.jpg,new,Aligned_C2_037.jpg
lf,hs,lawyer,Aligned_261_0_C1.jpg,Aligned_184_0_C1.jpg,old,Aligned_184_0_C1.jpg
hf,ls,secretary,Aligned_C2_054.jpg,Aligned_Cropped_64.jpg,new,Aligned_Cropped_New_11.jpg
hf,ls,maid,Aligned_Cropped_New_17.jpg,Aligned_C2_265.jpg,new,Aligned_287_0_C1.jpg
hf,hs,professor,Aligned_C2_104.jpg,Aligned_C2_244.jpg,old,Aligned_C2_104.jpg
hf,hs,CEO,Aligned_C2_021.jpg,Aligned_Cropped_76.jpg,old,Aligned_C2_021.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_C2_290.jpg,old,Aligned_C2_131.jpg
hf,hs,professor,Aligned_Cropped_New_18.jpg,Aligned_Cropped_77.jpg,new,Aligned_C2_104.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_Cropped_New_8.jpg,new,Aligned_C2_137.jpg
lf,hs,doctor,Aligned_C2_007.jpg,Aligned_118_0_C1.jpg,new,Aligned_261_0_C1.jpg
lf,ls,maid,Aligned_C2_234.jpg,Aligned_C2_060.jpg,new,Aligned_C2_024.jpg
hf,hs,CEO,Aligned_C2_286.jpg,Aligned_Cropped_New_9.jpg,old,Aligned_C2_286.jpg
lf,ls,secretary,Aligned_C2_071.jpg,Aligned_C2_088.jpg,old,Aligned_C2_088.jpg
hf,hs,professor,Aligned_C2_104.jpg,Aligned_C2_185.jpg,old,Aligned_C2_104.jpg
