stim_id,fan,status,occupation,eyes,face,test,test_eyes
66,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_C2_030.jpg,old,Aligned_Cropped_New_15.jpg
67,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_Cropped_New_15.jpg,new,Aligned_034_0_C1.jpg
68,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_C2_167.jpg,new,Aligned_034_0_C1.jpg
69,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_255_0_C1.jpg,new,Aligned_034_0_C1.jpg
70,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_Cropped_76.jpg,old,Aligned_C2_167.jpg
71,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_303_0_C1.jpg,old,Aligned_C2_167.jpg
72,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_C2_006.jpg,old,Aligned_C2_167.jpg
73,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_C2_182.jpg,new,Aligned_C2_071.jpg
74,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_291_0_C1.jpg,new,Aligned_C2_071.jpg
75,hf,ls,nanny,Aligned_C2_071.jpg,Aligned_Cropped_64.jpg,new,Aligned_C2_071.jpg
76,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_Cropped_72.jpg,old,Aligned_255_0_C1.jpg
77,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_Cropped_New_10.jpg,old,Aligned_255_0_C1.jpg
78,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_246.jpg,old,Aligned_255_0_C1.jpg
79,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_153.jpg,new,Aligned_288_0_C1.jpg
80,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_117.jpg,new,Aligned_288_0_C1.jpg
81,hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_032.jpg,new,Aligned_288_0_C1.jpg
82,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_C2_256.jpg,old,Aligned_Cropped_76.jpg
83,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_203_0_C1.jpg,old,Aligned_Cropped_76.jpg
84,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_029_0_C1.jpg,old,Aligned_Cropped_76.jpg
85,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_C2_088.jpg,new,Aligned_C2_030.jpg
86,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_144_0_C1.jpg,new,Aligned_C2_030.jpg
87,hf,ls,secretary,Aligned_C2_030.jpg,Aligned_Cropped_New_23.jpg,new,Aligned_C2_030.jpg
88,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_287_0_C1.jpg,old,Aligned_034_0_C1.jpg
89,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_277_0_C1.jpg,old,Aligned_034_0_C1.jpg
90,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_C2_042.jpg,old,Aligned_034_0_C1.jpg
91,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_C2_181.jpg,new,Aligned_Cropped_New_15.jpg
